Ro,e,NF,tan,LH,lamF,lamN,name,LES,Done
1,   0.6,3, 15.80,1999, 0.0623, 0.0208,exRo10N3e06nu6_LES,Y,Y
1,   0.6,6, 31.78,4020, 0.0628, 0.0105,exRo10N6e06,Y,Y
1,   0.6,8, 42.42,5365, 0.0629, 0.00786,exRo10N8e06,Y,Y
1,   0.6,10,53.04,6709, 0.0629, 0.00629,exRo10N10e06,Y,Y
0.95,0.6,6, 34.29,4337, 0.0379, 0.00631,exRo95N6e06,Y,Y
0.9, 0.6,6, 17.99,2275, 0.0255, 0.00424,exRo9N6e06,Y,Y
0.85,0.6,6, 19.73,2496, 0.0165, 0.00275,exRo85N6e06,Y,Y
0.8, 0.6,6, 13.76,1740, 0.0111, 0.00184,exRo8N6e06,Y,Y
1,   0.8,6, 105.6,9448, 0.0449, 0.00749,exRo10N6e08,Y,Y
1,   0.7,8, 67.87,7435, 0.0580, 0.00725,exRo10N8e07,Y,Y
1,   0.5,10,38.43,5434, 0.0603, 0.00603,exRo10N10e05,Y,Y
1,   0.4,5, 15.25,2363, 0.0517, 0.0103,exRo10N5e04,Y,Y
1,   0.3,7, 18.16,3039, 0.0401, 0.00573,exRo10N7e03,Y,Y
1,   0.2,4, 9.178,1642, 0.0264, 0.00660,exRo10N4e02,Y,Y
0.95,0.1,6, 13.45,2552, 0.00983,0.00164,exRo95N6e01,Y,Y
0.9, 0.1,3, 7.184,1363, 0.00691,0.00230,exRo9N3e01,Y,Y
0.9, 0.1,10,24.20,4591, 0.00704,0.000704,exRo9N10e01_LES,Y,Y
1,   0.5,2, 7.526,1064, 0.0582, 0.0291,exRo10N2e05,Y,Y
1,   0.7,4, 33.86,3710, 0.0579, 0.0145,exRo10N4e07,Y,Y
1,   0.4,3, 9.084,1407, 0.0510, 0.0170,exRo10N3e04,Y,Y
1,  0.55,3, 13.25,1777, 0.0617, 0.0206,exRo10N3e055,Y,Y
1,  0.25,2, 4.737,820.4,0.0317, 0.0159,exRo10N2e025,Y,Y
1,   0.3,2, 5.054,845.7,0.0381, 0.0191,exRo10N2e03,Y,Y
0.99,0.6,2, 10.56,1336, 0.0561, 0.0281,exRo99N2e06,Y,Y
0.99,0.6,4, 21.39,2705, 0.0571, 0.0143,exRo99N4e06,Y,Y
0.98,0.4,3, 9.290,1439, 0.0451, 0.0150,exRo98N3e04,Y,Y
0.98,0.35,2,5.581,899.9,0.0394, 0.0197,exRo98N2e035,Y,Y
0.97,0.4,5, 15.79,2445, 0.0428, 0.00855,exRo97N5e04,Y,Y
0.97,0.6,3, 16.45,2081, 0.0468, 0.0156,exRo97N3e06,Y,Y
0.96,0.5,2, 7.922,1120, 0.0431, 0.0216,exRo96N2e05,Y,Y
0.98,0.7,4, 34.89,3822, 0.0438, 0.0109,exRo98N4e07,Y,Y
0.97,0.55,3,13.76,1846, 0.0481, 0.0160,exRo97N3e055,Y,Y
0.95,0.4,2, 6.359,985.2,0.0359, 0.0179,exRo95N2e04,Y,Y
1,   0.5,4, 15.30,2164, 0.0598, 0.0150,exRo10N4e05,Y,Y
1,   0.7,3, 25.34,2776, 0.0577, 0.0192,exRo10N3e07,Y,Y
1,  0.75,2, 23.20,2320, 0.0520, 0.0260,exRo10N2e075,Y,Y
1,   0.5,3, 11.43,1616, 0.0594, 0.0198,exRo10N3e05,Y,Y
0.99,0.7,3, 25.67,2812, 0.0504, 0.0168,exRo99N3e07,Y,Y
0.99,0.5,3, 11.56,1634, 0.0553, 0.0184,exRo99N3e05,Y,Y
0.99,0.5,2, 7.610,1076, 0.0542, 0.0271,exRo99N2e05,Y,Y
0.98,0.8,2, 11.15,997.6,0.0329, 0.0165,exRo98N2e08,Y,Y
0.98,0.65,3,20.08,2376, 0.0489, 0.0163,exRo98N3e065,Y,Y
0.97,0.5,4, 15.87,2244, 0.0479, 0.0120,exRo97N4e05,Y,Y
0.97,0.7,3, 12.82,1404, 0.0399, 0.0133,exRo97N3e07,Y,Y
0.97,0.55,2,9.075,1218, 0.0474, 0.0237,exRo97N2e055,Y,Y
0.96,0.6,3, 16.73,2116, 0.0421, 0.0140,exRo96N3e06,Y,Y
0.96,0.7,2, 8.448,925.5,0.0360, 0.0180,exRo96N2e07,Y,Y
0.96,0.65,2,13.78,1630, 0.0378, 0.0189,exRo96N2e065,Y,Y
0.94,0.2, 5,12.36,2211, 0.0188, 0.00375,exRo94N5e02,Y,Y
0.93,0.3, 8,22.68,3795, 0.0259, 0.00323,exRo93N8e03,Y,Y
0.92,0.1, 6,14.03,2662, 0.00811,0.00135,exRo92N6e01,Y,Y
0.91,0.2, 3, 7.71,1378, 0.0150, 0.00501,exRo91N3e02,Y,Y
0.9, 0.2, 5,13.16,2354, 0.0141, 0.00282,exRo9N5e02,Y,Y
0.89,0.1, 6,14.75,2798, 0.00650,0.00108,exRo89N6e01,Y,Y
0.88,0.3, 8,24.81,4152, 0.0172, 0.00215,exRo88N8e03,Y,Y
0.87,0.2, 4,11.13,1991, 0.0109, 0.00273,exRo87N4e02,Y,Y
